,"index of flare start in ""gj1243_master_slc.dat""","index of flare stop in ""gj1243_master_slc.dat""",t_start,t_stop,t_peak,t_rise,t_decay,flux peak,ED,Duration of rise,Duration of decay,Complex flag,# of people that identified flare event exists,# of people that analyzed this month,# of flare template components fit to event,Flare_Duration,Index,Flare_Number,Type,Notes,na,key
25,11051.0,11074.0,547.4641113,547.4797974,547.4668579,0.0027466,0.0129395,0.0112124,3.7991269,1.029163,2.7699637,1.0,8.0,8.0,1.0,22.587984000056167,40,40.0,1.0,,,
26,11452.0,11479.0,547.7385864,547.7576904,547.7420044,0.003418,0.015686,0.0070361,3.6120732,0.9377127,2.6743605,1.0,8.0,8.0,1.0,27.50975999995717,41,41.0,1.0,,,
27,12686.0,12728.0,548.5859375,548.614563,548.5886841,0.0027466,0.0258789,0.0163852,8.4465399,1.4082863,7.0382533,1.0,8.0,8.0,2.0,41.220719999964786,44,44.0,1.0,,,
28,13379.0,13412.0,549.0668335,549.0892944,549.0688477,0.0020142,0.0204468,0.0161755,4.8866978,0.457309,4.429389,1.0,8.0,8.0,2.0,32.343695999916235,45,45.0,1.0,,,
29,13731.0,13751.0,549.3099976,549.3242798,549.3127441,0.0027466,0.0115356,0.0033731,1.8626379,0.366719,1.495919,1.0,8.0,8.0,1.0,20.566368000036164,49,49.0,1.0,,,
30,14733.0,14772.0,550.0013428,550.0292969,550.0040894,0.0027466,0.0252075,0.0173504,9.4447107,1.529237,7.9154735,1.0,8.0,8.0,1.0,40.25390399998287,52,52.0,1.0,,,
31,15292.0,15320.0,550.5333252,550.5523682,550.5374146,0.0040894,0.0149536,0.0159123,5.5768094,1.2394106,4.337399,1.0,8.0,8.0,1.0,27.421920000015234,54,54.0,1.0,,,
32,15695.0,15724.0,550.8112183,550.8309937,550.8187256,0.0075073,0.0122681,0.0040383,1.3733408,0.1781203,1.1952206,1.0,8.0,8.0,1.0,28.476576000102796,55,55.0,1.0,,,
33,16542.0,16584.0,551.3936157,551.423584,551.3956299,0.0020142,0.0279541,0.0054233,1.0203427,0.1931687,0.827174,1.0,8.0,8.0,2.0,43.15435199992862,57,57.0,2.0,adjust start_stop times,,
34,16996.0,17027.0,551.704895,551.7266846,551.7069092,0.0020142,0.0197754,0.01668,6.659101,0.4780664,6.1810346,1.0,8.0,8.0,1.0,31.37702400004855,59,59.0,1.0,,,
35,17569.0,17604.0,552.1026611,552.1265259,552.1060791,0.003418,0.0204468,0.0137589,5.6509194,0.3435438,5.3073754,1.0,8.0,8.0,2.0,34.36531200009995,61,61.0,1.0,,,
36,17658.0,17682.0,552.1639404,552.1809692,552.1673584,0.003418,0.0136108,0.0172826,5.3138223,1.8872051,3.4266174,1.0,8.0,8.0,1.0,24.52147200006948,62,62.0,1.0,,,
37,18081.0,18132.0,552.4534302,552.4888916,552.4568481,0.003418,0.0320435,0.0147647,9.7799225,0.2882535,9.4916697,1.0,8.0,8.0,2.0,51.06441600004473,63,63.0,1.0,,,
38,18871.0,18911.0,552.9976807,553.0249023,553.0031128,0.0054321,0.0217896,0.0173452,6.4823966,0.6962252,5.7861714,1.0,8.0,8.0,1.0,39.19910399994478,67,67.0,1.0,,,
39,18991.0,19014.0,553.0889282,553.1046143,553.0923462,0.003418,0.0122681,0.0055492,2.6077588,0.6012791,2.0064795,1.0,8.0,8.0,1.0,22.587983999892458,68,68.0,1.0,,,
40,19591.0,19626.0,553.4996948,553.5234985,553.5146484,0.0149536,0.0088501,0.0080698,1.5525447,0.0819445,1.4706002,1.0,8.0,8.0,1.0,34.27732799988007,71,71.0,2.0,adjust start_stop times,,
