,tpeaks,fwhms,amps,tpeak_err,fwhms_err,amps_err
134,912.8134629728175,0.0014354178880234061,0.01897137675720423,4.847654203542478e-05,0.0001305416390688196,0.0008925259753770897
135,912.9832635409014,0.0017006535007848137,0.017961973810551448,3.133700231445678e-05,0.00021510652510478725,0.0013367276420273417
136,915.0898985375638,0.0029313924772936483,0.034361080607434244,2.90323032941045e-05,0.00010084663867421335,0.0007389322485862352
137,915.9924209039541,0.001463761221696782,0.007385302081009118,5.936833161083382e-05,0.0002986106778618893,0.0008486338486617011
138,916.8258912646927,0.012958652615412836,0.00985579196261093,0.00026423955146633206,0.000987851839307067,0.00042360363019028525
139,917.7354796824721,0.0017369948939240458,0.0220338561153538,6.012963036762213e-05,0.0002114499444566032,0.0016117390114187208
140,918.4123138092252,0.0033903769754174045,0.0097064546324071,0.00012577995974811184,0.00046034705953079837,0.0008237994593796944
141,919.9620890212096,0.0019018964600905411,0.023997645342264902,7.601459867521183e-05,0.0002001360197795294,0.001596029757395994
142,920.975144619167,0.0032968961104252975,0.009346449259247111,0.00011006187284195819,0.0003865334001697272,0.0006864156942625911
143,921.1785114265975,0.003017680767025517,0.06569780839532328,4.213047643774252e-05,0.00015535036433691422,0.0021026357927087496
144,921.3836169320932,0.0029837603190408825,0.01323144791276133,9.10850676242861e-05,0.0003282794717969335,0.0008848504578591529
145,921.7562869140456,0.0018585614558111355,0.005893537322015847,8.670649448893648e-05,0.000338565907103457,0.0006427648528966258
146,921.8392347850256,0.003749165236386262,0.004094364690249983,0.00015049780533653482,0.0005501954683416341,0.00036968619583806656
147,922.3264701018607,0.0018345541047442542,0.0686535039966316,1.1472809122239715e-05,6.923454182666277e-05,0.0014862426281414178
148,922.5425229418345,0.0013381821420719914,0.004260692717720522,0.00019628514214365956,0.0006400551243552501,0.0015021613883626336
149,923.111658605947,0.0006708632417551054,0.04787956233695265,9.777455925543555e-06,0.00010525781400527039,0.0063289597888567745
150,923.228624787554,0.0021215165438051714,0.017037067234701872,4.69168781595274e-05,0.00015294221926711677,0.0008287305372533004
151,923.3746596877736,0.0008473439482548323,0.07188941305602087,1.2838370992085437e-05,7.109805885754533e-05,0.004811035813060772
152,924.2738811986198,0.002367379502803429,0.02720201359051029,5.469388847477146e-05,0.00019768729177578685,0.0014293239414319907
153,924.3792055943934,0.0048819758679454865,0.006059171067451768,0.00014574109398877115,0.0005318444938812542,0.0004035178489640832
154,924.7546825151135,0.004558191299686323,0.011054790506884175,0.00012684416815768345,0.0004564638407320962,0.000683907576229423
155,925.2914828110681,0.002874386800095791,0.019130437539950022,7.775266229415063e-05,0.00025436268198569,0.0010942377979000063
156,926.2939226891704,0.0005749924461929544,0.04368920987763253,1.1180736312379078e-05,0.00010933625274649127,0.0074708549564848235
157,928.8802714419456,0.0014215600090442362,0.02449047318286472,2.5307746377375845e-05,0.00014567882611732537,0.001497895364930875
158,930.0274286086701,0.0028532724750198264,0.028451928468908674,8.921197417431198e-05,0.0002912615516191221,0.0018671494829095698
159,930.1000366445198,0.0014637682940882714,0.055501697823965426,3.38339099825806e-05,5.962200534240643e-05,0.0012397288075116618
160,930.9377878285609,0.00193766244067096,0.01105489728062637,0.00010387283418500807,0.0002675161524340601,0.00108025495190277
161,931.0815947144382,0.0003166579318484911,0.05541092152128491,2.651720040466286e-05,0.00011743754717721331,0.02246600830724616
162,931.974635269172,0.0016498022207369406,0.026522868521078154,3.6855049929440857e-05,0.0001104304655992327,0.001021878434778813
163,932.1064411866198,0.003074957137037295,0.013714021778522385,0.00012172094129768661,0.00043586710223962214,0.0012173333215804872
164,935.2530711874691,0.006125404735706529,0.017950894140360704,0.00013509607802169031,0.0004987361912541023,0.0008551006585313571
165,936.6800117835807,0.0010689531073136502,0.023149407300999285,3.098465140955342e-05,0.00020107814290260898,0.0031956071569855197
166,938.3180063539234,0.0006542629400831591,0.029666990848683777,1.056670604016854e-05,0.00016151460444488637,0.0060520556317521235
167,941.9388924714218,0.0005423713839344776,0.0396155591985074,1.3259771544332563e-05,0.0002170643541901722,0.014187511421144687
168,942.2795914795188,0.002888588307596983,0.05370676269225672,3.1012788516958346e-05,0.00010398736181637915,0.0012063509212153706
169,944.1342452791883,0.004428095579099187,0.02373855036320835,9.001567688312744e-05,0.0003225468647116923,0.0010731269939840296
170,946.1510929220468,0.001065833986435347,0.024893843004997574,1.0163559433705011e-05,9.48429067891307e-05,0.0015305186170033696
171,946.9804797857055,0.001927691701794103,0.021458210256014895,3.1955275425225495e-05,9.218130744448365e-05,0.0006913552901299824
172,948.9587444487676,0.002004859414230367,0.00944331628314227,8.682942287679268e-05,0.00026439528112091594,0.0008013073882126555
173,949.0999394038366,0.003357505249167212,0.013605239579419993,0.00010150551687358182,0.0003408728983731474,0.0009102197336292013
174,950.0437185593768,0.0007690447520140857,0.023181146029155983,1.001464213815467e-05,0.00011031209883541733,0.00264605217299002
175,952.699156156934,0.002559875001149694,0.03836772939472091,2.9896427726515884e-05,0.00012414256060807975,0.0011444477525271344
176,953.6531102926871,0.002157356103359867,0.009840686707439622,6.166672713968492e-05,0.00019818899551036638,0.0005702827857659088
177,953.7344726524453,0.001349515763678689,0.010411844544914091,0.00010016943919749106,0.00020420607401713483,0.0011983862220945728
178,953.9997255615559,0.0009589795651990461,0.05780261884297475,7.698134221215322e-06,8.54712736759522e-05,0.00363310830336631
179,954.3565782652092,0.0005129781829775828,0.021172765401335187,2.6682551016463038e-05,0.0002496839719092696,0.009750121437317114
180,955.5438661054551,0.0017022177755683585,0.03145776069424792,3.6088735926970355e-05,0.0001392928338683878,0.001481479393517257
181,955.7426637050588,0.002176109869407543,0.014243827250790831,7.343793120875536e-05,0.00019744697978871538,0.0008678585499891217
182,960.4849631556965,0.0009309560163068,0.10149423974560336,3.136446599105418e-05,6.286416135518225e-05,0.0062607251020137256
183,961.2371508127114,0.0017619925234225594,0.030375989567021085,6.498678612761173e-05,0.0001660191913564514,0.001927808194742658
184,962.0812708092116,0.0011186342662882068,0.007805298331298075,4.661370336702497e-05,0.0003644726049799846,0.001629472466335925
185,963.7358667574114,0.0013608731635865261,0.01922253488733131,3.477356626031925e-05,0.00021009084669030927,0.0020278658389106708
186,965.0966163591345,0.001699647749649459,0.08271886511238893,1.2672286780217754e-05,4.350727202540573e-05,0.0012033041557218988
