,time,mean,std,var,detrended_flux,df_flux_err
0,1099.399788129027,0.9846799783251232,0.0005082126342583179,2.5828008161977886e-07,0.98741555,0.00027491592
1,1099.400469205626,0.9846731862363767,0.0004971494010959192,2.471575270100311e-07,0.98437583,0.00027403372
2,1099.401150282174,0.9846674467448104,0.00048715943420094346,2.3732431433098335e-07,0.9846116,0.00027398995
3,1099.4018313587148,0.984662766651158,0.0004782608029317913,2.287333956209617e-07,0.98476154,0.00027393832
4,1099.4025124352556,0.9846591503014847,0.00047044654071165076,2.213199476675589e-07,0.9840965,0.00027375531
5,1099.4031935117964,0.9846566008193596,0.00046368449127191433,2.1500330744609402e-07,0.9842345,0.00027369734
6,1099.403874688338,0.9846551053686284,0.00045791698668467114,2.096879666943693e-07,0.9851491,0.00027381268
7,1099.404555764886,0.9846546378788688,0.0004530680198014016,2.0527063056676324e-07,0.9845776,0.00027365342
8,1099.4052368414268,0.9846551690892994,0.0004490511194033608,2.016469078374114e-07,0.9850977,0.00027378325
9,1099.4059179179676,0.9846566701960762,0.00044577732630634074,1.9871742464882977e-07,0.9854446,0.00027369944
10,1099.4065990945091,0.9846591129801349,0.0004431555202066225,1.9638681508960218e-07,0.9879319,0.00027409045
11,1099.4072800710492,0.9846624676733864,0.00044109564124767233,1.9456536472769526e-07,0.9857194,0.00027364452
12,1099.4079611476554,0.9846667072203087,0.00043950665556676346,1.9316610028748167e-07,0.9869679,0.0002738369
13,1099.4086423241388,0.984671803820283,0.00043830102089094906,1.9210778491404818e-07,0.986413,0.00027371175
14,1099.4093234007378,0.9846777279424189,0.0004373946297321767,1.9131406211854793e-07,0.98621345,0.0002737998
15,1099.4100044772786,0.9846844523864822,0.000436706902848942,1.9071291899591528e-07,0.9867536,0.00027368765
16,1099.41068565382,0.9846919505700713,0.00043616205731338145,1.9023734023984143e-07,0.9890082,0.0002740732
17,1099.411366730361,0.9847001926930375,0.000435689610556217,1.89825436746628e-07,0.98799187,0.00027386242
18,1099.412047806909,0.9847091523466514,0.00043522416455372157,1.894200734114849e-07,0.98789006,0.00027381282
19,1099.4127289834505,0.9847188036830372,0.0004347057662496241,1.8896910321067282e-07,0.9885454,0.0002739322
20,1099.4134099599905,0.9847291151272513,0.0004340802401859705,1.8842565491990982e-07,0.9861889,0.00027347213
21,1099.4140910365895,0.984740064038014,0.0004332982873744058,1.8774740584159312e-07,0.988403,0.00027386815
22,1099.4147722130729,0.9847516237793592,0.0004323160191014846,1.868971403717552e-07,0.9860346,0.00027342004
23,1099.4154532896791,0.9847637641820254,0.0004310949760301793,1.8584287835846084e-07,0.98631436,0.00027345534
24,1099.41613436622,0.9847764602491408,0.00042960116033673976,1.8455715696267318e-07,0.9865226,0.0002734983
25,1099.4168155427615,0.9847896874420397,0.0004278050830802055,1.830171891092615e-07,0.98683274,0.00027354664
26,1099.4174966193023,0.9848034154800274,0.00042568253123263637,1.8120561739662445e-07,0.9876906,0.00027369414
27,1099.4181777958438,0.9848176221155651,0.0004232124072133869,1.791087416193496e-07,0.9871861,0.00027361012
28,1099.4188586724486,0.9848322726593957,0.0004203799430071931,1.767192964827309e-07,0.9873452,0.00027362257
29,1099.419539848932,0.9848473539860242,0.0004171701948392081,1.7403097146218285e-07,0.9869185,0.0002735548
30,1099.4202209255309,0.9848628315184121,0.00041357622726915686,1.7104529576218928e-07,0.98837394,0.00027382522
31,1099.4209021020724,0.9848786839922478,0.0004095920153810524,1.6776561906391225e-07,0.985417,0.00027329577
32,1099.4215831786132,0.9848948810673248,0.00040521736284221415,1.6420111114879866e-07,0.9862724,0.00027346966
33,1099.4222643551548,0.9849114019193774,0.0004004531713391106,1.6036274243555105e-07,0.986292,0.00027347342
34,1099.4229454317028,0.9849282162316879,0.00039530655668694665,1.5626727375969016e-07,0.9870287,0.00027363072
35,1099.4236265083018,0.9849453010521115,0.0003897861064573996,1.5193320878721924e-07,0.98593986,0.00027343037
36,1099.4243074848418,0.9849626285664053,0.00038390555743611325,1.4738347703033283e-07,0.98522615,0.0002733224
37,1099.4249886613834,0.9849801813132252,0.00037767875545034464,1.4264124231852125e-07,0.9845526,0.0002732165
38,1099.4256697379242,0.9849979265635992,0.00037112866513107687,1.3773648608197497e-07,0.985447,0.0002734007
39,1099.4263508144722,0.9850158419335276,0.0003642786268716964,1.3269891799552863e-07,0.986379,0.00027358194
40,1099.427031991072,0.9850339052376453,0.0003571559240653544,1.275603540949772e-07,0.98582476,0.00027349446
41,1099.4277130676128,0.9850520864144098,0.00034979533745913786,1.2235677810815214e-07,0.9872182,0.00027378305
42,1099.4283941441536,0.9850703634489282,0.00034223310717292147,1.1712349964523234e-07,0.986962,0.000273747
43,1099.4290752206944,0.9850887117749538,0.00033451135066520603,1.1189784372386043e-07,0.98516357,0.00027345456
44,1099.4297562972424,0.985107106916481,0.00032667731248277874,1.0671806649097107e-07,0.98788565,0.0002739591
45,1099.4304373738414,0.9851255244864847,0.0003187836313758765,1.0162300363319071e-07,0.9861165,0.00027366192
46,1099.431118550383,0.9851439428828033,0.0003108874167489417,9.665098589283015e-08,0.98692584,0.00027381853
47,1099.4317996269237,0.9851623324785405,0.0003030550385658754,9.184235640016423e-08,0.9860538,0.0002736963
48,1099.4324807034645,0.9851806718432368,0.0002953551855496376,8.723468563106085e-08,0.98594964,0.00027370887
49,1099.4331617800126,0.9851989369224994,0.00028786333700968027,8.286530079434877e-08,0.98567986,0.0002736804
50,1099.4338429566124,0.9852171093883718,0.0002806573238754943,7.876853344495412e-08,0.9862473,0.00027380072
