,time,mean,std,var,detrended_flux,df_flux_err
0,1154.89648378329,1.0066658560039594,0.0003338301116620835,1.1144254345231915e-07,1.0063089,0.7894311
1,1154.897164884569,1.0066880559477431,0.0003213037751996404,1.0323611595754105e-07,1.0082718,0.791394
2,1154.8978460857325,1.006709594716947,0.00030938986716937296,9.572208990708226e-08,1.007683,0.79080516
3,1154.8985271870115,1.0067304740036929,0.00029811945149972184,8.887520736249502e-08,1.007121,0.79024315
4,1154.8992081881734,1.0067507133976266,0.00028751669644037523,8.266585073198689e-08,1.0071595,0.7902816
5,1154.8998893894604,1.0067703466990958,0.0002775980803173678,7.706069419588781e-08,1.0060501,0.78917235
6,1154.9005704907395,1.0067893926943368,0.00026838528393127194,7.203066063086945e-08,1.006909,0.7900312
7,1154.901251591902,1.0068078774195146,0.0002598896710644163,6.754264112597051e-08,1.0060086,0.7891308
8,1154.9019326931812,1.0068258220426811,0.0002521193533874243,6.356416835249292e-08,1.0074087,0.79053086
9,1154.902613894461,1.0068432455025813,0.00024507625537899524,6.00623709505905e-08,1.0067235,0.78984565
10,1154.9032949956309,1.0068601618427215,0.00023875973293105077,5.700621006930669e-08,1.0073413,0.79046345
11,1154.9039761969107,1.0068765963498256,0.00023315928887304092,5.436325398778215e-08,1.0072297,0.79035187
12,1154.904657198189,1.0068925663477404,0.00022826250441733425,5.210377092287354e-08,1.0060713,0.78919345
13,1154.9053382993516,1.0069081054986206,0.0002240462553506812,5.0196724536662646e-08,1.0069995,0.7901217
14,1154.9060194006306,1.006923232530121,0.0002204846212232216,4.861346819594751e-08,1.0066894,0.7898116
15,1154.9067006019104,1.0069379693590454,0.0002175450663376997,4.732585588787416e-08,1.0073264,0.7904485
16,1154.9073817031967,1.0069523305716381,0.0002151914446446021,4.6307357848230854e-08,1.0061425,0.7892647
17,1154.9080629043601,1.0069663402686837,0.00021338195051101504,4.553185680388527e-08,1.0072457,0.7903678
18,1154.9087440056392,1.0069800092883356,0.00021207277294473033,4.4974861024467145e-08,1.0067774,0.78989965
19,1154.9094251069182,1.006993354840302,0.00021121694727779523,4.461259881735093e-08,1.0068471,0.7899693
20,1154.9101061080873,1.0070063888445984,0.0002107664274258403,4.4422486929852006e-08,1.0071564,0.7902785
21,1154.9107873093672,1.0070191295515254,0.00021067242670948748,4.438287137566437e-08,1.007014,0.79013616
22,1154.9114684106462,1.0070315846863789,0.00021088654676785267,4.447313560766971e-08,1.0061516,0.7892737
23,1154.9121496118096,1.0070437698443455,0.00021136109279251334,4.467351154644543e-08,1.0074041,0.7905262
24,1154.9128307130886,1.007055687296405,0.00021204943303909974,4.496496205220365e-08,1.0054947,0.7886169
25,1154.9135118143677,1.0070673427436798,0.00021290673909324416,4.532927955131874e-08,1.0063158,0.78943795
26,1154.9141930156475,1.0070787289931036,0.00021389011917546735,4.574898308089563e-08,1.0059386,0.78906083
27,1154.9148741168174,1.0070898228944205,0.0002149582002381759,4.6207027849635724e-08,1.0068241,0.78994626
28,1154.9155552180964,1.0071005956338008,0.00021607204868059118,4.668713022102776e-08,1.0067586,0.7898807
29,1154.9162363193755,1.0071110124617717,0.000217195000413379,4.7173668204567704e-08,1.0078745,0.7909967
30,1154.9169174206545,1.0071210395699928,0.00021829396851012246,4.765225668789834e-08,1.0071415,0.7902636
31,1154.9175985218171,1.0071306490272056,0.00021933807763010449,4.8109192298469747e-08,1.0070571,0.79017925
32,1154.9182797231042,1.0071398158382219,0.00022029866827827293,4.853150324518054e-08,1.0072182,0.79034036
33,1154.9189608243832,1.0071485110432907,0.00022115029271532624,4.890745196807448e-08,1.0061293,0.7892514
34,1154.9196419255459,1.007156709771298,0.00022187184776855667,4.922711683223358e-08,1.0074759,0.790598
35,1154.920323026825,1.0071643857969559,0.00022244583989051742,4.9482151684597715e-08,1.0090554,0.7921775
36,1154.9210042281047,1.0071715139227475,0.00022285842041691375,4.966587555072188e-08,1.0085667,0.7916889
37,1154.9216852293903,1.0071780649668665,0.00022309898763862453,4.9773158285379134e-08,1.007657,0.7907792
38,1154.9223663306693,1.0071840158161873,0.00022316051841781326,4.9800616980507175e-08,1.0040519,0.78717417
39,1154.9230475318327,1.0071893401182823,0.00022303891638253504,4.9746358221095454e-08,1.0082426,0.7913647
40,1154.9237286331118,1.0071940102800623,0.000222733224683038,4.961008937770468e-08,1.0076681,0.7907903
41,1154.9244097343908,1.0071980011594373,0.00022224535691947866,4.9392998672266456e-08,1.0069314,0.79005355
42,1154.9250909355542,1.0072012872812799,0.0002215799278229885,4.90976644140408e-08,1.0068449,0.7899671
43,1154.9257720368405,1.0072038418465745,0.00022074457131595365,4.872816576546415e-08,1.0081284,0.7912506
44,1154.9264531381195,1.0072056396353748,0.0002197492645563052,4.828973927303702e-08,1.0072997,0.79042184
45,1154.9271342393986,1.0072066549782457,0.00021860660540967762,4.778884792874249e-08,1.006644,0.78976613
46,1154.9278153406776,1.0072068622964812,0.00021733163595188013,4.723303998552055e-08,1.0063723,0.7894945
