,time,flux,flux_err,gp_st_dev
141,1.3696561630291475,0.36812663177375715,0.05871667823157686,0.017042108436261222
142,1.6791948888505936,0.17351824929485335,0.05864117571101394,0.017096314335375562
143,1.9887335627314804,0.1670729958744758,0.05862024011945725,0.017132732677447384
144,2.298272288451579,0.2946739673290483,0.05870606974526348,0.01715107070264592
145,2.607810962180445,0.12823624433437208,0.05860707400520846,0.017151181996330433
146,2.9173496880525644,0.031838242973421194,0.05865108704422834,0.01713306621613995
147,3.226888361933451,0.20644137792360762,0.05868064885545553,0.017096869088137935
148,3.5364270877042236,0.2028656290027764,0.058660486011912163,0.017042882672377236
149,3.8459657616864575,0.11873421340833756,0.058657260628900025,0.016971545965345333
150,4.15550448745723,0.09268481445665866,0.058645085647972675,0.01688344558627798
151,-0.4644506886072758,0.1394948266312089,0.08327831695068105,0.022954470313307784
152,0.039547025475794285,0.9586301343626273,0.0836515200942605,0.023146625535695558
153,0.5435447394763563,0.49645659409687287,0.08353188120608908,0.023320445244631633
154,1.0475424536419344,0.3660739878303079,0.08358815570640675,0.023474323195091282
155,1.5515401676424965,0.2911329650422021,0.08343639891633696,0.02360686915733009
156,2.0555378814780423,0.2516404850932955,0.08339536530302198,0.023716908887427723
157,2.559535595313588,0.31846785088407986,0.08347063311409683,0.023803483475966784
158,3.0635333096441824,0.06949609791004062,0.08329509911758291,0.02386584840893687
159,3.5675310236447446,0.2819768903947873,0.08337908108808754,0.023903472592904682
160,4.071528652992031,0.2925453171177353,0.08341900616547505,0.023916037527494924
161,4.575526367157609,0.13348955295595968,0.08335452138569462,0.023903436751478026
162,5.0795240809931546,-0.04356629928379119,0.08325442711224429,0.023865775612971218
163,5.583521794828701,0.05418365346089494,0.08331304317240874,0.02380337142837414
164,6.0875195091592955,-0.057442389430514086,0.08325385802428152,0.023716753964084028
165,-0.5505744320418141,-0.004388489582902534,0.011031787123010254,0.0039239521070410675
166,-0.02671721557289621,0.9288040560784574,0.011456428351505813,0.003988005461338628
167,0.4971399127349037,0.49100115496637076,0.011242459553534775,0.004049571829009764
168,1.0209971286892625,0.3728629904456464,0.01120208235860121,0.0041083767399094084
169,1.5448542571685822,0.33239768896480654,0.011185829481695261,0.004164167438569229
170,2.068711472951421,0.339319842050481,0.011188491042171138,0.0042167122346123765
171,2.5925686010877014,0.28670762469771643,0.011161198475291336,0.004265799703367853
172,3.1164258175566193,0.2239678609247686,0.011148527133025752,0.004311238055239377
173,3.6402829462932185,0.18643085438294615,0.011130536802666298,0.0043528544079504405
174,4.164140162161818,0.16706345551052906,0.011106226506034,0.004390494234106855
175,4.687997290298098,0.14445925503022303,0.011119420241535845,0.004424020746929247
176,5.211854418777417,0.10108184490849804,0.011097273909290457,0.004453314445675066
177,5.735711634646016,0.09109328195526142,0.011080227523671203,0.004478272653294124
178,6.259568763039576,0.06122693496222812,0.011054695554249046,0.004498809127717597
179,6.783425979594254,0.04274633448011626,0.01104696463029536,0.004514853770219613
180,7.831140235952574,0.05881920869132942,0.011048295410533298,0.004533266270113885
181,8.354997451906932,0.010001560384054822,0.0110307960636902,0.004535572524787964
182,8.878854580214734,0.02822310784062378,0.011042055621703363,0.004533263508279531
183,9.402711708779812,0.018130632379899873,0.0110533895711584,0.004526347046508757
184,9.92656892481993,0.0204353350105395,0.01103272362860627,0.004514846413125879
185,10.45042605329925,0.013776190451546103,0.01102876187104078,0.004498800428105482
186,10.974283181435531,0.011795819207519579,0.011037358215434915,0.004478263593653881
187,11.49814039738989,-0.00011372884590385123,0.011035928246607814,0.004453306302781226
188,12.021997526040728,-0.001646027724133734,0.011021357442859755,0.004424015121042566
189,12.545854654605808,-0.01678484359685485,0.011027654265128459,0.004390493087699193
190,13.069711870560168,-0.017309755642296563,0.011033816356230217,0.004352860112298602
191,-0.7094571992301637,-0.027556477396297685,0.050168789480172594,0.013833603443899334
192,-0.35372403968183985,0.4163026657605993,0.050398008287538064,0.013936182208734127
193,0.0020091198664840817,0.9039865501973284,0.050579743910941916,0.014027078598133918
194,0.3577422200134511,0.8535979276657094,0.050594826890851964,0.014105393048928978
195,0.7134753799111947,0.5584604424724118,0.050463193278664636,0.014170367475535644
196,1.0692085395759918,0.3364561468146816,0.050413809155758556,0.014221385148655152
197,1.4249416394900123,0.23059282070707465,0.05029354455028341,0.01425797039440885
198,1.7806747991548095,0.12532751619758703,0.050317070043232,0.014279788132237884
199,2.13640795893608,0.1880129293609775,0.05031862302610763,0.014286643385867435
200,2.4921410589665736,0.03467455575929493,0.05031557566348374,0.014278480969479639
201,2.847874218747844,0.11101536228674666,0.05023127872743958,0.014255385287455707
202,3.203607378412641,0.06896997793780638,0.05023445428440461,0.01421758032868411
203,3.559340478268425,0.052407128637606444,0.050252328238256254,0.014165429805677067
204,3.9150736378749857,0.012522407883500541,0.05026062058078087,0.014099437332793651
205,-4.275554830393982,-0.09568622803435359,0.07654614784020673,0.023100925799972402
206,-3.457597161160954,0.09254129772902187,0.07658181521342018,0.023283902943410623
207,-2.6396393545396064,0.1257490550130802,0.0766062768750809,0.023445224916933974
208,-1.8216815475165382,0.022669713287492527,0.07652103665393484,0.02358369145794747
209,-1.0037237404934702,-0.02187392587299024,0.07650256756281719,0.02369829170738465
