,time,mean,std,var
35992,564.0410315976915,0.9999944969317344,0.00016059710670803955,2.5791430682993444e-08
35993,564.0417127121327,0.9999846603428465,0.00015220737080695715,2.3167083727966553e-08
35994,564.0423939265675,0.9999722281097946,0.00014549680871791038,2.1169321347096204e-08
35995,564.0430750407686,0.9999575601387506,0.00014031713759279007,1.968889910223398e-08
35996,564.0437561552026,0.9999409287283737,0.00013647126760666018,1.8624406882168654e-08
35997,564.0444372696365,0.9999226433575011,0.00013374090768905484,1.7886630389492286e-08
35998,564.0451184840713,0.9999029354473173,0.00013190770335859387,1.7399642205338794e-08
35999,564.0457995982797,0.9998820868230308,0.00013077196861099391,1.710130777439478e-08
36000,564.0464806127129,0.9998605814129061,0.00013016245052960586,1.6942263527872092e-08
36001,564.0471618271476,0.9998390420908575,0.00012994209412070214,1.6884947824473417e-08
36002,564.0478429415816,0.9998181168397914,0.0001300081273896156,1.6902113187354517e-08
36003,564.0485240560229,0.9997982676803784,0.0001302879487655391,1.697494959353174e-08
36004,564.0492052702248,0.9997798908640644,0.0001307340718814779,1.709139755071143e-08
36005,564.0498863846587,0.9997632688287731,0.00013131753416271622,1.724429477857614e-08
36006,564.0505674990927,0.9997486283759888,0.00013202187376273688,1.7429775151824034e-08
36007,564.0512487135275,0.9997362147095029,0.00013283679533413633,1.7645614194643222e-08
36008,564.0519297277278,0.9997263364269714,0.00013375178626848317,1.788954033001e-08
36009,564.0526108421691,0.9997192339384551,0.00013475214810964808,1.815814142016453e-08
36010,564.0532919566031,0.9997149155868924,0.00013581319642983305,1.844522432448842e-08
36011,564.0539731710378,0.9997132422368765,0.00013689747656879512,1.8740919090903807e-08
36012,564.0546542852389,0.9997140417360669,0.00013795159558026797,1.903064272314181e-08
36013,564.0553354996737,0.9997170204612392,0.00013890643589387598,1.9294997932739477e-08
36014,564.0560166141076,0.9997218529305422,0.0001396770564139742,1.9509680088472536e-08
36015,564.0566977285489,0.9997282312088583,0.00014016740180040842,1.964690052747714e-08
36016,564.0573787429821,0.9997358436319467,0.000140288611703767,1.9680894573770313e-08
36017,564.058059957184,0.9997443817635226,0.0001400152792695078,1.9604278428918265e-08
36018,564.058741071618,0.9997535302337156,0.00013940249976121107,1.9433056939674453e-08
36019,564.0594222860527,0.9997629820614237,0.00013857289080935854,1.9202446067262402e-08
36020,564.060103400494,0.9997724152637265,0.00013766491274075197,1.8951628199918857e-08
36021,564.0607845146951,0.9997814350456221,0.0001368164199210254,1.871873276000635e-08
36022,564.0614657291298,0.9997896007846724,0.00013616362130533272,1.854053176698206e-08
36023,564.0621468435638,0.9997964791782586,0.00013584105071708292,1.8452791059921092e-08
36024,564.062827857997,0.9998017234323865,0.00013598052778842815,1.849070393761948e-08
36025,564.0635089722055,0.9998050256459753,0.0001367101729649658,1.8689671392110863e-08
36026,564.0641901866402,0.9998058647544025,0.00013815088986771787,1.9085668371242315e-08
36027,564.0648713010742,0.999803645942868,0.0001404094363616001,1.971480981938223e-08
36028,564.0655525155089,0.9997979325871177,0.0001435720399059425,2.0612930642753546e-08
36029,564.06623362971,0.9997884447873479,0.0001476921357963199,2.1812966976078596e-08
36030,564.0669147441513,0.9997747892738617,0.00015278368514141824,2.3342854445392025e-08
36031,564.067595958586,0.999756769483647,0.00015881209730429034,2.5221282250187382e-08
36032,564.0682769730192,0.9997343115635619,0.0001656838353758688,2.745113330485799e-08
36033,564.0689580872204,0.9997073564629833,0.0001732524338096521,3.001640582096787e-08
36034,564.0696393016551,0.9996758938127374,0.00018130912827704463,3.287299999658183e-08
36035,564.0703204160891,0.9996400191029097,0.00018958370300888703,3.594198044656188e-08
36036,564.0710015302975,0.9995999222574196,0.000197769264283795,3.911268189535355e-08
36037,564.0716826447315,0.9995558195119018,0.00020558430791402495,4.2264907660488626e-08
36038,564.0723638591662,0.9995079189007922,0.00021279195224882752,4.52804149418673e-08
36039,564.0730449736002,0.9994564489446035,0.00021919380870443516,4.804592577435651e-08
