,time,flux,flux_err,gp_st_dev
0,-0.7442600326489863,-0.08970831699713681,6.481430329092686e-07,3.802211931707766e-07
1,-0.18171615237595237,-0.17103332379084932,6.480464907273102e-07,3.4989249568794996e-07
2,0.3808275295913034,-0.10513038227261713,6.478489793523635e-07,3.233277637215534e-07
3,0.9433712115585591,-0.05161312947972845,6.477623840529284e-07,3.0058149398222875e-07
4,1.5059150858223271,0.1494776165489142,6.476483746266134e-07,2.815802945991262e-07
5,2.0684587737988487,0.9542193344397337,6.476740846320927e-07,2.6614668959306006e-07
6,2.631085239414607,0.548974409656073,6.475383476579194e-07,2.5398728008293913e-07
7,3.193628921287968,0.3196703536928258,6.472804325885432e-07,2.447184687631488e-07
8,3.7561726033491185,0.24042504741287385,6.472918613157627e-07,2.3790542913470286e-07
9,4.318716477612886,0.20778539570262888,6.471764441369863e-07,2.3309576209868502e-07
10,4.8813427509321325,0.10466724779071156,6.47094905632577e-07,2.298507763879234e-07
11,5.443804039853176,0.11867214806902744,6.468630710298542e-07,2.2777611004360117e-07
12,6.006347721820432,0.03832781500951491,6.468407692671762e-07,2.2653710528393028e-07
13,6.568973995233573,0.112911057002731,6.466867870801808e-07,2.258622838611951e-07
14,7.131517869403446,0.06537400801579207,6.46794239343715e-07,2.2554228956436854e-07
15,7.694061551370702,-0.01439638558175372,6.467655656488432e-07,2.2542276535067592e-07
16,8.25660543154984,0.08213197661161042,6.465926158497363e-07,2.253951434944501e-07
17,8.81923170496298,0.035364292001689064,6.464411342756657e-07,2.253877014987655e-07
18,9.381775386930236,-0.00638866945859652,6.463467592915755e-07,2.2535687187314296e-07
19,9.944319261194005,-0.06084001765551716,6.461367078058871e-07,2.252798590004543e-07
20,1.867997154644972,0.6408903447980784,6.480031837023467e-07,4.138695769072599e-07
21,1.8855097299603585,0.8137249146987908,6.476796876321051e-07,3.7994938018322915e-07
22,1.9030223112621394,0.6497320827174544,6.475832144663388e-07,3.49642364116429e-07
23,1.9205323215917105,1.056300050638132,6.473858442885632e-07,3.230966227778272e-07
24,1.938047474052776,1.2527264321866498,6.472993108944809e-07,3.00366613919391e-07
25,1.955560055354557,1.2536623413748207,6.471853829713627e-07,2.8137899813674014e-07
26,1.9730726366563378,0.9303448784947106,6.472110745972422e-07,2.6595642632493215e-07
27,1.99058778911448,0.5127843438985117,6.470754346588816e-07,2.538057093482237e-07
28,2.008100370416261,1.0520457026737466,6.468177039681428e-07,2.44543524127507e-07
29,2.025612945918722,0.9950100649902089,6.4682912452518e-07,2.3773535501309065e-07
30,2.043125527220503,0.9372000267146886,6.467137898559762e-07,2.329291263176747e-07
31,2.060638108522284,0.6283733496452694,6.466323096419118e-07,2.2968646038623213e-07
32,2.078150689824065,0.9074630898562284,6.464006407733909e-07,2.2761327718190142e-07
33,2.0956658422822074,0.4567260079877513,6.46378354953824e-07,2.263751581634553e-07
34,2.113178423771063,0.7277820417869639,6.462244828458011e-07,2.2570081915787693e-07
35,2.130691005072844,1.503004563649145,6.463318582937309e-07,2.2538105361896123e-07
36,2.148203586377548,1.405946539756703,6.46303205097145e-07,2.252616148508834e-07
37,2.165718732846373,0.8811030337133499,6.461303789366e-07,2.2523401274100365e-07
38,2.183231314148154,0.8858532997817307,6.459790056538608e-07,2.2522657606546197e-07
39,2.200741324480648,0.8728637653071971,6.458846981366736e-07,2.2519576847935956e-07
40,2.2182564769387905,1.0212621240379873,6.456747968128459e-07,2.251188106617267e-07
41,2.2357690582434944,0.7167083276311816,6.456513633846301e-07,2.2498752996962266e-07
42,2.2532816395452753,0.836393025183983,6.454192317706864e-07,2.2480356624179976e-07
43,2.270796792000495,0.7969077767063043,6.45359537611132e-07,2.2457448778353385e-07
44,2.2883093733022757,0.6984465479719091,6.452440733732099e-07,2.2431107439553766e-07
45,2.305821948804737,0.7535143211087054,6.451464896184287e-07,2.2402506559876544e-07
46,2.3233371012628794,1.009675698250963,6.451301639599088e-07,2.237281750781034e-07
47,0.9750588895201997,-0.07621557340469601,6.469418275541308e-07,4.131917052068458e-07
48,1.259593003113036,-0.023091835629680497,6.466188613339759e-07,3.793270659403202e-07
49,1.5441689886806569,0.05285356025862098,6.465225461803772e-07,3.49069689348519e-07
50,1.8287032025289631,0.8385529838284936,6.463254992726979e-07,3.2256742694102003e-07
51,2.1132374133852774,0.8234101907416147,6.462391076105579e-07,2.998746472741336e-07
52,2.3978133989528985,0.7240930919305871,6.461253662885317e-07,2.8091813106515425e-07
53,2.6823476097617207,0.5111206280223388,6.461510158344248e-07,2.655208196869759e-07
54,2.9668400459542204,0.4130553482466088,6.460155980589889e-07,2.533900042146008e-07
55,3.2513742598500186,0.28119604237030954,6.457582895020607e-07,2.441429894089024e-07
56,3.5359502453701475,0.3416425138590044,6.457696913535132e-07,2.3734597130782889e-07
57,3.820484456226462,0.22491383453807004,6.456545455894929e-07,2.3254761467308163e-07
58,4.10506044174659,0.33634292956188355,6.455731988308317e-07,2.2931025986280252e-07
59,4.389594652650397,0.19379037752940875,6.453419094097953e-07,2.2724047229879525e-07
60,4.674128863459219,0.23122715568103644,6.453196600918879e-07,2.2600438117969512e-07
61,4.95870485197134,0.18980771246471423,6.451660400090278e-07,2.253311466653717e-07
62,5.243197288211332,0.1608064176501346,6.452732395880812e-07,2.2501190486635303e-07
63,5.527731499067646,0.18806204822427894,6.452446333222004e-07,2.2489266172550978e-07
64,5.812307484587775,0.17465657768835086,6.450720902314192e-07,2.248651048247737e-07
65,6.096841695444089,0.11170105763972156,6.449209648810487e-07,2.2485768032966802e-07
