,time,flux,flux_err,gp_st_dev
0,-0.4718988790071063,-0.06852156322897608,6.487314008304728e-07,4.143346778856104e-07
1,0.0013560978942547025,-0.07647657809333486,6.484075412197655e-07,3.803763621077461e-07
2,0.47468071868367806,-0.10475665033466491,6.483109596387731e-07,3.5003528743019017e-07
3,0.9479356955060476,-0.04253972847668412,6.481133676590871e-07,3.2345971435000474e-07
4,1.4211908341030213,-0.06976114632014843,6.480267370199583e-07,3.00704161818035e-07
5,1.8944459777554512,0.855027532731528,6.479126810661961e-07,2.816952080120797e-07
6,2.3677009545778205,0.6705169598691987,6.479384015639738e-07,2.662553045246942e-07
7,2.8409560931747944,0.3380417629426135,6.478026091953029e-07,2.5409093273818854e-07
8,3.314280714043209,0.40181744993969837,6.475445888703337e-07,2.448183388002136e-07
9,3.787535690786587,0.22803126692550585,6.475560222616369e-07,2.3800251875832498e-07
10,4.260790829462552,0.1785484312007218,6.47440557980907e-07,2.3319088888873932e-07
11,4.734115455228441,0.2644735262940723,6.473589862004908e-07,2.299445788936078e-07
12,5.20737043205081,0.21899065703902348,6.471270569856593e-07,2.2786906587430533e-07
13,5.680556088455334,0.09327863958263002,6.471047461215927e-07,2.2662955547461512e-07
14,6.153880709244757,0.11042706618654388,6.469507010941962e-07,2.259544586560717e-07
15,6.627135686067127,0.26082410837517467,6.470581972091881e-07,2.2563433376901037e-07
16,7.100390829719557,0.24760358482558684,6.470295118125311e-07,2.2551476077727613e-07
17,7.573715288734376,0.16656591388049471,6.468564914323072e-07,2.2548712764852228e-07
18,8.046970427331349,0.147022318430001,6.467049480383401e-07,2.2547968261574617e-07
19,8.520225566007314,0.0719126263610684,6.46610534539653e-07,2.2544884040849924e-07
20,8.99355002486415,0.08858138748747174,6.464003973315842e-07,2.2537179610672193e-07
21,9.466735686482114,0.12289208579597836,6.463769375692019e-07,2.25240367883169e-07
22,9.939990825000097,0.06454214236638041,6.461445450889205e-07,2.2505619741942115e-07
23,10.413315284014915,0.05573469268932431,6.460847838458849e-07,2.2482686152591233e-07
24,10.88657042261189,0.06100362117314091,6.459691898508291e-07,2.2456315211754813e-07
25,11.359825561208863,0.10471435478124366,6.458714964327569e-07,2.2427682190799608e-07
26,11.833150020223682,0.028246020583935733,6.45855152427685e-07,2.2397959774582155e-07
27,12.306405163876112,0.07390557205523926,6.458685685951135e-07,2.2368189059721241e-07
28,12.779660140698482,0.009081948687207492,6.456914714789307e-07,2.233924527367035e-07
29,13.252984761566896,-0.0025361150408259037,6.454954731323925e-07,2.2311829598509676e-07
30,13.726170417892428,0.12337405332378572,6.455754512796612e-07,2.2286441534312635e-07
31,14.199425394714797,0.0425943540315515,6.453163191176121e-07,2.226340464082617e-07
32,14.672750020559677,-0.023560876258964684,6.453058493184446e-07,2.2242900744683708e-07
33,15.146005159235642,-0.019124088696359915,6.453112417282813e-07,2.2224962828196758e-07
34,15.61926013597902,-0.01507709204078997,6.452830381276922e-07,2.2209531559950693e-07
35,16.092584756768446,-0.015462243242192425,6.450960271308818e-07,2.2196475185646462e-07
36,-0.7442600326489863,-0.08970831699713681,6.481430329092686e-07,3.802211931707766e-07
37,-0.18171615237595237,-0.17103332379084932,6.480464907273102e-07,3.4989249568794996e-07
38,0.3808275295913034,-0.10513038227261713,6.478489793523635e-07,3.233277637215534e-07
39,0.9433712115585591,-0.05161312947972845,6.477623840529284e-07,3.0058149398222875e-07
40,1.5059150858223271,0.1494776165489142,6.476483746266134e-07,2.815802945991262e-07
41,2.0684587737988487,0.9542193344397337,6.476740846320927e-07,2.6614668959306006e-07
42,2.631085239414607,0.548974409656073,6.475383476579194e-07,2.5398728008293913e-07
43,3.193628921287968,0.3196703536928258,6.472804325885432e-07,2.447184687631488e-07
44,3.7561726033491185,0.24042504741287385,6.472918613157627e-07,2.3790542913470286e-07
45,4.318716477612886,0.20778539570262888,6.471764441369863e-07,2.3309576209868502e-07
46,4.8813427509321325,0.10466724779071156,6.47094905632577e-07,2.298507763879234e-07
47,5.443804039853176,0.11867214806902744,6.468630710298542e-07,2.2777611004360117e-07
48,6.006347721820432,0.03832781500951491,6.468407692671762e-07,2.2653710528393028e-07
49,6.568973995233573,0.112911057002731,6.466867870801808e-07,2.258622838611951e-07
50,7.131517869403446,0.06537400801579207,6.46794239343715e-07,2.2554228956436854e-07
51,7.694061551370702,-0.01439638558175372,6.467655656488432e-07,2.2542276535067592e-07
52,8.25660543154984,0.08213197661161042,6.465926158497363e-07,2.253951434944501e-07
53,8.81923170496298,0.035364292001689064,6.464411342756657e-07,2.253877014987655e-07
54,9.381775386930236,-0.00638866945859652,6.463467592915755e-07,2.2535687187314296e-07
55,9.944319261194005,-0.06084001765551716,6.461367078058871e-07,2.252798590004543e-07
56,-0.9623707356924242,0.10243676930289278,6.459952129680208e-07,2.442325634866664e-07
57,-0.5247863093345998,0.09429093217593908,6.460066190027199e-07,2.3743305161491607e-07
58,-0.0871374883212262,0.09783467159663702,6.45891430992655e-07,2.3263293450213343e-07
59,0.3504469427110123,-0.19043564280324474,6.458100543885294e-07,2.2939439193269637e-07
60,0.7880313689227613,-0.07921507519097518,6.455786801092849e-07,2.2732384498046064e-07
61,1.2256800403548838,0.15773600681216524,6.455564226282837e-07,2.260873003495792e-07
62,1.6632644666396703,0.34909580459377687,6.454027461834643e-07,2.2541381883098632e-07
63,2.100784797358372,0.9934356559882841,6.455099850931717e-07,2.2509445990474725e-07
64,2.538433468790495,0.4416433827381297,6.454813683318845e-07,2.2497517301456516e-07
